tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
256,4,8,26,0.760034
256,4,8,27,0.800767
256,4,8,28,0.802788
256,4,8,29,0.783426
256,4,8,30,0.797615
512,1,1,1,1.781021
512,1,1,2,1.777228
512,1,1,3,1.755083
512,1,1,4,1.766302
512,1,1,5,1.772544
512,1,1,6,1.775774
512,1,1,7,1.775126
512,1,1,8,1.758067
512,1,1,9,1.767228
512,1,1,10,1.764237
512,1,1,11,1.762695
512,1,1,12,1.783817
512,1,1,13,1.732691
512,1,1,14,1.788801
512,1,1,15,1.781365
512,1,1,16,1.767461
512,1,1,17,1.779106
512,1,1,18,1.776210
512,1,1,19,1.756638
512,1,1,20,1.760157
512,1,1,21,1.768211
512,1,1,22,1.777067
512,1,1,23,1.793679
512,1,1,24,1.784615
512,1,1,25,1.756113
512,1,1,26,1.762221
512,1,1,27,1.778456
512,1,1,28,1.769335
512,1,1,29,1.773675
512,1,1,30,1.759615
512,1,2,1,1.753288
512,1,2,2,1.759511
512,1,2,3,1.759831
512,1,2,4,1.757562
512,1,2,5,1.759155
512,1,2,6,1.760993
512,1,2,7,1.766997
512,1,2,8,1.757926
512,1,2,9,1.771381
512,1,2,10,1.747827
512,1,2,11,1.811131
512,1,2,12,1.754309
512,1,2,13,1.777656
512,1,2,14,1.765984
512,1,2,15,1.769127
512,1,2,16,1.773003
512,1,2,17,1.769042
512,1,2,18,1.759087
512,1,2,19,1.755500
512,1,2,20,1.772868
512,1,2,21,1.778454
512,1,2,22,1.763713
512,1,2,23,1.791448
512,1,2,24,1.759681
512,1,2,25,1.781465
512,1,2,26,1.780766
512,1,2,27,1.782671
512,1,2,28,1.776378
512,1,2,29,1.770912
512,1,2,30,1.740256
512,1,4,1,1.789099
512,1,4,2,1.771450
512,1,4,3,1.757467
512,1,4,4,1.763775
512,1,4,5,1.771414
512,1,4,6,1.785456
512,1,4,7,1.782460
512,1,4,8,1.785146
512,1,4,9,1.776089
512,1,4,10,1.773655
512,1,4,11,1.744430
512,1,4,12,1.778546
512,1,4,13,1.784701
512,1,4,14,1.756155
512,1,4,15,1.774870
512,1,4,16,1.796603
512,1,4,17,1.763686
512,1,4,18,1.772721
512,1,4,19,1.764372
512,1,4,20,1.747917
512,1,4,21,1.750909
512,1,4,22,1.758523
512,1,4,23,1.764936
512,1,4,24,1.775083
512,1,4,25,1.747179
512,1,4,26,1.774980
512,1,4,27,1.778264
512,1,4,28,1.761676
512,1,4,29,1.767804
512,1,4,30,1.755676
512,1,8,1,1.775699
512,1,8,2,1.770238
512,1,8,3,1.764779
512,1,8,4,1.782254
512,1,8,5,1.759627
512,1,8,6,1.770276
512,1,8,7,1.760546
512,1,8,8,1.750779
512,1,8,9,1.766537
512,1,8,10,1.744739
512,1,8,11,1.774900
512,1,8,12,1.781829
512,1,8,13,1.758594
512,1,8,14,1.768272
512,1,8,15,1.763901
512,1,8,16,1.794922
512,1,8,17,1.749980
512,1,8,18,1.768261
512,1,8,19,1.766791
512,1,8,20,1.758952
512,1,8,21,1.773806
512,1,8,22,1.762379
512,1,8,23,1.748759
512,1,8,24,1.754681
