tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
1024,2,1,2,21,9.096177,OK
1024,2,1,2,22,6.429804,OK
1024,2,1,2,23,9.044825,OK
1024,2,1,2,24,6.764683,OK
1024,2,1,2,25,9.305106,OK
1024,2,1,2,26,9.454464,OK
1024,2,1,2,27,6.300321,OK
1024,2,1,2,28,6.166421,OK
1024,2,1,2,29,9.461922,OK
1024,2,1,2,30,6.031218,OK
1024,2,1,4,1,7.524333,OK
1024,2,1,4,2,7.168165,OK
1024,2,1,4,3,8.671662,OK
1024,2,1,4,4,10.396849,OK
1024,2,1,4,5,6.307251,OK
1024,2,1,4,6,7.502257,OK
1024,2,1,4,7,7.962668,OK
1024,2,1,4,8,7.833480,OK
1024,2,1,4,9,8.595390,OK
1024,2,1,4,10,9.315572,OK
1024,2,1,4,11,7.473752,OK
1024,2,1,4,12,6.706552,OK
1024,2,1,4,13,7.898793,OK
1024,2,1,4,14,6.541986,OK
1024,2,1,4,15,7.463925,OK
1024,2,1,4,16,6.276423,OK
1024,2,1,4,17,6.927526,OK
1024,2,1,4,18,6.518628,OK
1024,2,1,4,19,7.387888,OK
1024,2,1,4,20,7.006407,OK
1024,2,1,4,21,8.741454,OK
1024,2,1,4,22,8.014519,OK
1024,2,1,4,23,7.208552,OK
1024,2,1,4,24,8.101614,OK
1024,2,1,4,25,9.707624,OK
1024,2,1,4,26,8.990638,OK
1024,2,1,4,27,9.797832,OK
1024,2,1,4,28,9.578330,OK
1024,2,1,4,29,6.659122,OK
1024,2,1,4,30,7.208028,OK
1024,3,2,1,1,4.010827,OK
1024,3,2,1,2,4.460544,OK
1024,3,2,1,3,6.025112,OK
1024,3,2,1,4,4.336538,OK
1024,3,2,1,5,4.475041,OK
1024,3,2,1,6,4.390781,OK
1024,3,2,1,7,4.433922,OK
1024,3,2,1,8,5.553779,OK
1024,3,2,1,9,4.108349,OK
1024,3,2,1,10,4.005776,OK
1024,3,2,1,11,4.630442,OK
1024,3,2,1,12,4.320496,OK
1024,3,2,1,13,4.673114,OK
1024,3,2,1,14,4.524227,OK
1024,3,2,1,15,4.090274,OK
1024,3,2,1,16,4.419949,OK
1024,3,2,1,17,4.407103,OK
1024,3,2,1,18,5.150762,OK
1024,3,2,1,19,4.912819,OK
1024,3,2,1,20,5.754327,OK
1024,3,2,1,21,4.234020,OK
1024,3,2,1,22,5.386897,OK
1024,3,2,1,23,3.821317,OK
1024,3,2,1,24,4.989409,OK
1024,3,2,1,25,4.819342,OK
1024,3,2,1,26,4.128475,OK
1024,3,2,1,27,5.615151,OK
1024,3,2,1,28,6.026862,OK
1024,3,2,1,29,5.337993,OK
1024,3,2,1,30,4.254063,OK
1024,3,2,2,1,2.743224,OK
1024,3,2,2,2,2.783821,OK
1024,3,2,2,3,2.718674,OK
1024,3,2,2,4,2.635225,OK
1024,3,2,2,5,2.861243,OK
1024,3,2,2,6,2.741217,OK
1024,3,2,2,7,2.640450,OK
1024,3,2,2,8,2.735991,OK
1024,3,2,2,9,2.692801,OK
1024,3,2,2,10,2.710183,OK
1024,3,2,2,11,2.816695,OK
1024,3,2,2,12,2.731254,OK
1024,3,2,2,13,2.679258,OK
1024,3,2,2,14,2.696784,OK
1024,3,2,2,15,2.859953,OK
1024,3,2,2,16,2.916252,OK
1024,3,2,2,17,2.798746,OK
1024,3,2,2,18,2.884573,OK
1024,3,2,2,19,2.639108,OK
1024,3,2,2,20,2.764627,OK
1024,3,2,2,21,2.846516,OK
1024,3,2,2,22,2.750114,OK
1024,3,2,2,23,2.919363,OK
1024,3,2,2,24,2.734952,OK
1024,3,2,2,25,2.916116,OK
1024,3,2,2,26,2.772259,OK
1024,3,2,2,27,2.638623,OK
1024,3,2,2,28,2.829236,OK
1024,3,2,2,29,2.648082,OK
1024,3,2,2,30,2.686727,OK
1024,3,2,4,1,2.479772,OK
1024,3,2,4,2,2.479104,OK
1024,3,2,4,3,2.439768,OK
1024,3,2,4,4,2.499212,OK
1024,3,2,4,5,2.454265,OK
1024,3,2,4,6,2.555271,OK
1024,3,2,4,7,2.431144,OK
1024,3,2,4,8,2.431415,OK
1024,3,2,4,9,2.939737,OK
1024,3,2,4,10,2.548754,OK
1024,3,2,4,11,2.461811,OK
1024,3,2,4,12,2.459256,OK
1024,3,2,4,13,2.495260,OK
1024,3,2,4,14,2.433174,OK
1024,3,2,4,15,2.481016,OK
1024,3,2,4,16,2.559096,OK
1024,3,2,4,17,2.577690,OK
1024,3,2,4,18,2.797976,OK
1024,3,2,4,19,2.635130,OK
1024,3,2,4,20,2.539340,OK
1024,3,2,4,21,2.467090,OK
1024,3,2,4,22,2.555830,OK
1024,3,2,4,23,2.461233,OK
1024,3,2,4,24,2.577509,OK
1024,3,2,4,25,2.512851,OK
1024,3,2,4,26,2.869632,OK
1024,3,2,4,27,2.611422,OK
1024,3,2,4,28,2.431964,OK
1024,3,2,4,29,2.523440,OK
1024,3,2,4,30,2.485169,OK
