tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
1024,2,1,4,30,4.790067,OK
1024,3,2,1,1,2.867240,OK
1024,3,2,1,2,2.904728,OK
1024,3,2,1,3,2.876469,OK
1024,3,2,1,4,2.886447,OK
1024,3,2,1,5,2.853147,OK
1024,3,2,1,6,2.881281,OK
1024,3,2,1,7,2.869474,OK
1024,3,2,1,8,2.906102,OK
1024,3,2,1,9,2.924073,OK
1024,3,2,1,10,2.834902,OK
1024,3,2,1,11,2.868756,OK
1024,3,2,1,12,2.875441,OK
1024,3,2,1,13,2.832277,OK
1024,3,2,1,14,2.845444,OK
1024,3,2,1,15,2.856809,OK
1024,3,2,1,16,2.844298,OK
1024,3,2,1,17,2.840100,OK
1024,3,2,1,18,2.866209,OK
1024,3,2,1,19,2.852346,OK
1024,3,2,1,20,2.879691,OK
1024,3,2,1,21,2.859521,OK
1024,3,2,1,22,2.864999,OK
1024,3,2,1,23,2.900735,OK
1024,3,2,1,24,2.889271,OK
1024,3,2,1,25,2.864844,OK
1024,3,2,1,26,2.916182,OK
1024,3,2,1,27,2.857553,OK
1024,3,2,1,28,2.952684,OK
1024,3,2,1,29,2.877452,OK
1024,3,2,1,30,2.883456,OK
1024,3,2,2,1,2.210338,OK
1024,3,2,2,2,2.297501,OK
1024,3,2,2,3,2.217560,OK
1024,3,2,2,4,2.314190,OK
1024,3,2,2,5,2.238842,OK
1024,3,2,2,6,2.204623,OK
1024,3,2,2,7,2.205479,OK
1024,3,2,2,8,2.246777,OK
1024,3,2,2,9,2.369556,OK
1024,3,2,2,10,2.240119,OK
1024,3,2,2,11,2.250310,OK
1024,3,2,2,12,2.315887,OK
1024,3,2,2,13,2.225184,OK
1024,3,2,2,14,2.244181,OK
1024,3,2,2,15,2.179281,OK
1024,3,2,2,16,2.262713,OK
1024,3,2,2,17,2.150263,OK
1024,3,2,2,18,2.408291,OK
1024,3,2,2,19,2.223404,OK
1024,3,2,2,20,2.270078,OK
1024,3,2,2,21,2.182769,OK
1024,3,2,2,22,2.307910,OK
1024,3,2,2,23,2.229279,OK
1024,3,2,2,24,2.242826,OK
1024,3,2,2,25,2.378667,OK
1024,3,2,2,26,2.232042,OK
1024,3,2,2,27,2.392550,OK
1024,3,2,2,28,2.181218,OK
1024,3,2,2,29,2.181524,OK
1024,3,2,2,30,2.242160,OK
